experiment_id,experiment_type,train_site,test_site,csmf_accuracy,cod_accuracy,csmf_accuracy_ci,cod_accuracy_ci,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper,regularization_config
xgboost_out_domain_Pemba_Mexico_size1.0,out_domain,Pemba,Mexico,0.3431372549019608,0.0980392156862745,"[0.2934640522875818, 0.3757352941176471]","[0.07589869281045751, 0.12851307189542485]",237,306,0.2240591049194336,,0.1401410102844238,0.0720181465148925,d74d858ea47b9ffd9f0af7f383c16ce01ce1d28422bf2e85a4388943,0,,xgboost,1.0,0.2934640522875818,0.3757352941176471,0.0758986928104575,0.1285130718954248,fixed_conservative
xgboost_out_domain_Mexico_Pemba_size1.0,out_domain,Mexico,Pemba,0.45,0.35,"[0.30208333333333337, 0.5333333333333333]","[0.26125, 0.44625000000000004]",1222,60,0.8215181827545166,,0.7856500148773193,0.0247039794921875,a5d27138c911c0a0fd14b6927fb84be2379571e9c8d49b57b348cd32,0,,xgboost,1.0,0.3020833333333333,0.5333333333333333,0.26125,0.44625,fixed_conservative
xgboost_out_domain_AP_Pemba_size1.0,out_domain,AP,Pemba,0.4499999999999999,0.3,"[0.37041666666666667, 0.5]","[0.2870833333333333, 0.37958333333333333]",1186,60,0.8347868919372559,,0.7935700416564941,0.0279490947723388,f1065e5afcadbafedf71932cd987809199d39f25de71f349ab39fdd5,0,,xgboost,1.0,0.3704166666666666,0.5,0.2870833333333333,0.3795833333333333,fixed_conservative
xgboost_out_domain_Mexico_AP_size1.0,out_domain,Mexico,AP,0.7601351351351351,0.3468013468013468,"[0.6854377104377104, 0.7607610451360451]","[0.3214646464646465, 0.38644781144781143]",1222,297,1.0032823085784912,,0.9460768699645996,0.0447361469268798,fa0bcbdfde6a18c030c472808bfc9e76bc6f0b9c410cbd7a0cc175f3,0,,xgboost,1.0,0.6854377104377104,0.7607610451360451,0.3214646464646465,0.3864478114478114,fixed_conservative
xgboost_out_domain_AP_Mexico_size1.0,out_domain,AP,Mexico,0.6078431372549019,0.2254901960784313,"[0.5345588235294118, 0.609640522875817]","[0.19501633986928105, 0.2534313725490196]",1186,306,1.0344421863555908,,0.9649488925933838,0.0532288551330566,db69293fcb0f838b2da30b428baa75b3e74d1653abe1c5d4c5942f91,0,,xgboost,1.0,0.5345588235294118,0.609640522875817,0.195016339869281,0.2534313725490196,fixed_conservative
xgboost_training_size_Mexico_Mexico_size1.0,training_size,Mexico,Mexico,0.8594771241830066,0.4411764705882353,"[0.7790838958534234, 0.8445261437908497]","[0.40236928104575165, 0.4766339869281046]",1222,306,0.9663989543914796,,0.7409961223602295,0.0376341342926025,a5d27138c911c0a0fd14b6927fb84be2379571e9c8d49b57b348cd32,0,,xgboost,1.0,0.7790838958534234,0.8445261437908497,0.4023692810457516,0.4766339869281046,fixed_conservative
xgboost_training_size_Mexico_Mexico_size0.75,training_size,Mexico,Mexico,0.8333333333333334,0.3954248366013072,"[0.7637729026036644, 0.8194444444444444]","[0.34248366013071896, 0.39722222222222225]",916,306,0.6382839679718018,,0.5835142135620117,0.0433077812194824,0ca045cdd6635eb7fa65fa6db0814078c71f693d26369895d176fc17,0,,xgboost,0.75,0.7637729026036644,0.8194444444444444,0.3424836601307189,0.3972222222222222,fixed_conservative
insilico_in_domain_Pemba_Pemba_size1.0,in_domain,Pemba,Pemba,0.8813559322033898,0.5333333333333333,"[0.8077661826981246, 0.9076271186440678]","[0.50375, 0.6425000000000001]",237,60,22.72584295272827,,0.0029990673065185,22.16748595237732,72f46a572a9e25137cc812be9ee0568c7a36fa224edad539fed0e80b,0,,insilico,1.0,0.8077661826981246,0.9076271186440678,0.50375,0.6425000000000001,fixed_conservative
insilico_out_domain_Mexico_Pemba_size1.0,out_domain,Mexico,Pemba,0.3,0.1666666666666666,"[0.22791666666666666, 0.3425]","[0.07625000000000003, 0.2554166666666667]",1222,60,28.47933006286621,,0.003727912902832,27.552781105041504,d44c25d9e81acaa4d2734b10a9e71ec150e25738d21d25ed3796356e,0,,insilico,1.0,0.2279166666666666,0.3425,0.07625,0.2554166666666667,fixed_conservative
insilico_out_domain_AP_Pemba_size1.0,out_domain,AP,Pemba,0.3666666666666667,0.2333333333333333,"[0.31666666666666654, 0.43875]","[0.18708333333333332, 0.32958333333333334]",1186,60,32.125787019729614,,0.0030341148376464,31.056351900100708,827db5d6d093bd4afb2dc56a5e75c30eb8092a8405e90693a102b261,0,,insilico,1.0,0.3166666666666665,0.43875,0.1870833333333333,0.3295833333333333,fixed_conservative
