label,model,train_site,test_site,random_seed,csmf_accuracy,cod_accuracy,n_train,n_test,execution_time_seconds
va34,insilico,UP,Pemba,8,0.5333333333333333,0.3666666666666666,1124,60,14.248032093048096
va34,insilico,UP,AP,8,0.5506756756756757,0.2188552188552188,1124,297,50.91014003753662
va34,insilico,UP,Dar,8,0.4259259259259259,0.1944444444444444,1124,324,52.1729199886322
va34,insilico,UP,Mexico,8,0.4,0.1699346405228758,1124,306,49.69430708885193
va34,categorical_nb,AP,Bohol,9,0.2709163346613545,0.1235059760956175,1186,251,0.1158452033996582
va34,random_forest,AP,Dar,9,0.3086419753086421,0.132716049382716,1186,324,0.1787199974060058
va34,random_forest,AP,Bohol,9,0.2350597609561753,0.0876494023904382,1186,251,0.1923918724060058
va34,categorical_nb,AP,Dar,9,0.2006172839506173,0.0277777777777777,1186,324,0.0971448421478271
va34,xgboost,AP,Bohol,9,0.1752988047808765,0.1115537848605577,1186,251,0.829444169998169
va34,xgboost,AP,Dar,9,0.2407407407407407,0.1358024691358024,1186,324,0.8378157615661621
va34,logistic_regression,AP,Bohol,9,0.2350597609561754,0.047808764940239,1186,251,0.9315249919891356
va34,xgboost,AP,Mexico,9,0.6470588235294118,0.1862745098039215,1186,306,0.8110318183898926
va34,categorical_nb,AP,Mexico,9,0.3137254901960784,0.0751633986928104,1186,306,0.101294994354248
va34,random_forest,AP,Mexico,9,0.5032679738562091,0.1568627450980392,1186,306,0.2129929065704345
va34,logistic_regression,AP,Dar,9,0.2345679012345679,0.0493827160493827,1186,324,0.920891284942627
va34,random_forest,AP,Pemba,9,0.2833333333333332,0.15,1186,60,0.1330056190490722
va34,categorical_nb,AP,Pemba,9,0.2333333333333332,0.1333333333333333,1186,60,0.0911867618560791
va34,logistic_regression,AP,Mexico,9,0.3986928104575162,0.0816993464052287,1186,306,0.919025182723999
va34,xgboost,AP,Pemba,9,0.3833333333333333,0.2,1186,60,0.772130012512207
va34,random_forest,AP,UP,9,0.7117437722419928,0.3558718861209964,1186,281,0.1387619972229004
va34,logistic_regression,AP,Pemba,9,0.4499999999999999,0.1666666666666666,1186,60,0.9080870151519777
va34,categorical_nb,AP,UP,9,0.4483985765124555,0.195729537366548,1186,281,0.0991039276123046
va34,xgboost,AP,UP,9,0.7829181494661922,0.395017793594306,1186,281,0.8001892566680908
va34,xgboost,Bohol,AP,9,0.1587837837837837,0.0437710437710437,1001,297,0.6155271530151367
va34,random_forest,Bohol,AP,9,0.2094594594594594,0.0942760942760942,1001,297,0.1415748596191406
va34,logistic_regression,AP,UP,9,0.3024911032028469,0.1245551601423487,1186,281,0.9195539951324464
va34,categorical_nb,Bohol,AP,9,0.2794612794612795,0.101010101010101,1001,297,0.0904908180236816
va34,logistic_regression,Bohol,AP,9,0.2861952861952861,0.0437710437710437,1001,297,0.7213449478149414
va34,xgboost,Bohol,Dar,9,0.5789473684210527,0.2808641975308642,1001,324,0.6070530414581299
va34,random_forest,Bohol,Dar,9,0.5139318885448916,0.2469135802469135,1001,324,0.2142069339752197
va34,logistic_regression,Bohol,Dar,9,0.498452012383901,0.191358024691358,1001,324,0.7206249237060547
va34,categorical_nb,Bohol,Dar,9,0.2160493827160494,0.0462962962962962,1001,324,0.0935580730438232
va34,xgboost,Bohol,Mexico,9,0.1503267973856209,0.0457516339869281,1001,306,0.6068718433380127
va34,insilico,AP,Pemba,9,0.4833333333333333,0.2833333333333333,1186,60,16.504796743392944
va34,random_forest,Bohol,Mexico,9,0.107843137254902,0.0294117647058823,1001,306,0.1445679664611816
va34,logistic_regression,Bohol,Mexico,9,0.3137254901960784,0.0620915032679738,1001,306,0.7200801372528076
va34,categorical_nb,Bohol,Mexico,9,0.2287581699346405,0.0718954248366013,1001,306,0.0878801345825195
va34,xgboost,Bohol,Pemba,9,0.1166666666666667,0.0166666666666666,1001,60,0.654937744140625
va34,insilico,Bohol,Pemba,9,0.3999999999999999,0.2666666666666666,1001,60,15.478507995605469
va34,random_forest,Bohol,Pemba,9,0.1666666666666667,0.05,1001,60,0.1624541282653808
va34,logistic_regression,Bohol,Pemba,9,0.25,0.1333333333333333,1001,60,0.7265012264251709
va34,categorical_nb,Bohol,Pemba,9,0.1833333333333333,0.15,1001,60,0.0748779773712158
va34,xgboost,Bohol,UP,9,0.1785714285714286,0.0462633451957295,1001,281,0.616016149520874
va34,insilico,AP,Bohol,9,0.6613545816733069,0.2948207171314741,1186,251,48.598082065582275
